Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,DP,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Liam,2,D. Carr QB - LV ,22.36,D. Martin RB - TB ,9.60,E. Lacy RB - GB ,7.80,A. Brown WR - PIT ,24.60,S. Watkins WR - BUF ,4.30,T. Kelce TE - KC ,7.40,D. Williams RB - PIT ,30.10,J. Tucker K - BAL ,9.00,Eagles DEF ,11.00,D. Jackson LB - IND ,1.00,D. Jackson WR - WAS ,10.20,R. Cobb WR - GB ,6.80,J. Gordon WR - CLE ,0.00,T. Austin WR - LA ,1.50,J. Langford RB - CHI ,12.30,T. Yeldon RB - JAX ,12.90,127.16,Liam WHYTE,94.46
Liam WHYTE,7,A. Rodgers QB - GB ,23.56,R. Mathews RB - PHI ,13.70,T. Gurley RB - LA ,4.20,J. Edelman WR - NE ,8.20,B. Marshall WR - NYJ ,3.20,D. Allen TE - IND ,13.30,M. Jones RB - WAS ,3.30,C. Santos K - KC ,9.00,Cardinals DEF ,6.00,L. Kuechly LB - CAR ,10.00,Z. Miller TE - CHI ,1.40,A. Smith QB - KC ,28.02,D. Robinson RB - JAX ,1.70,A. Hurns WR - JAX ,7.50,D. Parker WR - MIA ,0.00,S. Diggs WR - MIN ,10.20,94.46,Liam,127.16
Adam,4,E. Manning QB - NYG ,18.28,R. Jennings RB - NYG ,9.80,L. McCoy RB - BUF ,13.00,J. Nelson WR - GB ,9.20,T. Hilton WR - IND ,7.90,V. McDonald TE - SF ,7.40,G. Tate WR - DET ,4.30,S. Gostkowski K - NE ,13.00,Patriots DEF ,3.00,K. Alexander LB - TB ,18.00,R. Gronkowski TE - NE ,0.00,M. Sanu WR - ATL ,16.00,M. Wheaton WR - PIT ,0.00,C. Hyde RB - SF ,21.30,C. Sims RB - TB ,11.10,T. Lockett WR - SEA ,1.70,103.88,Jackson ,75.96
Steven,9,C. Palmer QB - ARI ,20.94,L. Blount RB - NE ,11.00,A. Peterson RB - MIN ,3.10,E. Sanders WR - DEN ,5.90,J. Landry WR - MIA ,5.90,D. Walker TE - TEN ,4.20,M. Crabtree WR - LV ,10.70,G. Gano K - CAR ,8.00,Texans DEF ,8.00,J. Watt DL - HOU ,0.50,J. Charles RB - KC ,0.00,D. Woodhead RB - LAC ,18.00,J. Witten TE - DAL ,6.60,K. Aiken WR - BAL ,1.40,R. Tannehill QB - MIA ,15.14,K. Allen WR - LAC ,6.30,78.24,Kevin,93.44
Oliver,3,D. Brees QB - NO ,31.42,M. Ingram RB - NO ,8.70,L. Miller RB - HOU ,13.70,J. Maclin WR - KC ,13.20,O. Beckham WR - NYG ,7.30,J. Graham TE - SEA ,1.10,L. Fitzgerald WR - ARI ,20.10,S. Hauschka K - SEA ,7.00,Panthers DEF ,8.00,E. Ansah DL - DET ,1.50,J. Flacco QB - BAL ,13.02,T. Eifert TE - CIN ,0.00,A. Abdullah RB - DET ,18.00,M. Mariota QB - TEN ,16.74,S. Shepard WR - NYG ,11.30,Chargers DEF ,4.00,112.02,Todd,82.62
Aaron,1,B. Roethlisberger QB - PIT ,23.80,L. Murray RB - LV ,13.20,D. Johnson RB - ARI ,19.20,A. Jeffery WR - CHI ,10.50,M. Evans WR - TB ,15.90,J. Reed TE - WAS ,6.40,I. Crowell RB - CLE ,14.80,D. Bailey K - DAL ,17.00,Vikings DEF ,21.00,P. Posluszny LB - JAX ,4.50,A. Foster RB - MIA ,10.00,J. Thomas TE - JAX ,12.40,K. Benjamin WR - CAR ,15.10,B. Bortles QB - JAX ,15.00,J. Hill RB - CIN ,9.10,J. Allen RB - BAL ,0.00,146.30,Kevin,110.76
Kevin,6,C. Newton QB - CAR ,21.16,T. Hightower RB - NO ,1.00,D. Murray RB - TEN ,17.70,J. Jones WR - ATL ,12.60,B. Cooks WR - NO ,27.40,G. Olsen TE - CAR ,7.30,M. Floyd WR - NE ,6.10,C. Catanzaro K - ARI ,3.00,Seahawks DEF ,9.00,K. Mack DL - LV ,5.50,M. Stafford QB - DET ,26.10,L. Bell RB - PIT ,0.00,K. White WR - CHI ,3.40,D. Henry RB - TEN ,4.40,M. Thomas WR - NO ,7.80,-,-,110.76,Aaron,146.30
Todd,8,R. Wilson QB - SEA ,11.92,M. Forte RB - NYJ ,15.50,F. Gore RB - IND ,7.80,D. Bryant WR - DAL ,0.80,A. Green WR - CIN ,24.00,C. Fleener TE - NO ,0.60,D. Johnson RB - CLE ,5.00,M. Crosby K - GB ,9.00,Chiefs DEF ,1.00,L. David LB - TB ,7.00,M. Bennett TE - NE ,1.40,E. Decker WR - NYJ ,10.70,T. Brady QB - NE ,0.00,M. Jones WR - DET ,8.50,C. Michael RB - GB ,7.10,T. Rawls RB - SEA ,5.80,82.62,Oliver,112.02
Jackson ,10,K. Cousins QB - WAS ,9.96,J. Forsett RB - DEN ,5.60,D. Freeman RB - ATL ,4.00,D. Thomas WR - DEN ,4.80,D. Hopkins WR - HOU ,12.40,G. Barnidge TE - CLE ,0.00,D. Baldwin WR - SEA ,15.20,M. Nugent K ,11.00,Broncos DEF ,6.00,T. Smith LB - JAX ,7.00,J. Stewart RB - CAR ,6.40,P. Rivers QB - LAC ,14.62,C. Ivory RB - JAX ,0.00,Z. Ertz TE - PHI ,5.80,J. Brown WR - ARI ,0.80,M. Gordon RB - LAC ,17.70,75.96,Adam,103.88
Kevin,5,T. Taylor QB - BUF ,5.54,C. Anderson RB - DEN ,25.90,E. Elliott RB - DAL ,11.20,A. Robinson WR - JAX ,9.20,A. Cooper WR - LV ,15.70,A. Gates TE - LAC ,2.00,C. Coleman WR - CLE ,6.90,S. Janikowski K - LV ,7.00,Rams DEF ,1.00,J. Casillas LB - NYG ,9.00,A. Dalton QB - CIN ,17.34,T. Smith WR - SF ,1.30,A. Luck QB - IND ,35.50,G. Bernard RB - CIN ,3.00,D. Moncrief WR - IND ,12.40,J. Ajayi RB - MIA ,0.00,93.44,Steven,78.24
